judul_berita,tanggal,website,data_cleansing,data_case_folding,tokens,stopword_removal,lemmatization,informal_to_formal_indo,informal_to_formal_indo_english
Pemkot Kotamobagu Galakkan Pola Hidup Sehat Bersama pada HKN ke-60,2024-11-11,https://read.id/pemkot-kotamobagu-galakkan-pola-hidup-sehat-bersama-pada-hkn-ke-60/,Pemkot Kotamobagu Galakkan Pola Hidup Sehat Bersama pada HKN ke ,pemkot kotamobagu galakkan pola hidup sehat bersama pada hkn ke ,"['pemkot', 'kotamobagu', 'galakkan', 'pola', 'hidup', 'sehat', 'bersama', 'pada', 'hkn', 'ke']","['pemkot', 'kotamobagu', 'galakkan', 'pola', 'hidup', 'sehat', 'hkn']","['pemkot', 'kotamobagu', 'galakkan', 'pola', 'hidup', 'sehat', 'hkn']",pemkot kotamobagu galakkan pola hidup sehat hkn,City Government Kotamobang Danggun Galvaning a Healthy Lifestyle Hkn
Dua Putri Tonny dan Istri Marten Taha Masif Kampanyekan TUMT,2024-11-11,https://read.id/dua-putri-tonny-dan-istri-marten-taha-masif-kampanyekan-tumt/,Dua Putri Tonny dan Istri Marten Taha Masif Kampanyekan TUMT,dua putri tonny dan istri marten taha masif kampanyekan tumt,"['dua', 'putri', 'tonny', 'dan', 'istri', 'marten', 'taha', 'masif', 'kampanyekan', 'tumt']","['putri', 'tonny', 'istri', 'marten', 'taha', 'masif', 'kampanyekan', 'tumt']","['putri', 'tonny', 'istri', 'marten', 'taha', 'masif', 'kampanyekan', 'tumt']",putri tonny istri marten taha masif kampanyekan tumt,Tonny's daughter Marten Taha's wife is massive TUMT campaign
"Pemkot Gorontalo Gelar Pencanangan HUT Korpri ke-53, HKN, Hari Guru ke-79, dan HUT Dharma Wanita Persatuan ke-25",2024-11-11,https://read.id/pemkot-gorontalo-gelar-pencanangan-hut-korpri-ke-53-hkn-hari-guru-ke-79-dan-hut-dharma-wanita-persatuan-ke-25/,Pemkot Gorontalo Gelar Pencanangan HUT Korpri ke   HKN  Hari Guru ke   dan HUT Dharma Wanita Persatuan ke ,pemkot gorontalo gelar pencanangan hut korpri ke   hkn  hari guru ke   dan hut dharma wanita persatuan ke ,"['pemkot', 'gorontalo', 'gelar', 'pencanangan', 'hut', 'korpri', 'ke', 'hkn', 'hari', 'guru', 'ke', 'dan', 'hut', 'dharma', 'wanita', 'persatuan', 'ke']","['pemkot', 'gorontalo', 'gelar', 'pencanangan', 'hut', 'korpri', 'hkn', 'guru', 'hut', 'dharma', 'wanita', 'persatuan']","['pemkot', 'gorontalo', 'gelar', 'pencanangan', 'hut', 'korpri', 'hkn', 'guru', 'hut', 'dharma', 'wanita', 'persatuan']",pemkot gorontalo gelar pencanangan hut korpri hkn guru hut dharma wanita persatuan,Gorontalo City Government Holds the Declaration of Korpri Hkn Anniversary Anniversary Dharma Wanita Unity
"DPRD Kota Gorontalo Pastikan Pembayaran TPP, Honor Ketua RT/RW, Guru Ngaji dan Imam Masjid Segera Dilakukan",2024-11-11,https://read.id/dprd-kota-gorontalo-pastikan-pembayaran-tpp-honor-ketua-rt-rw-guru-ngaji-dan-imam-masjid-segera-dilakukan/,DPRD Kota Gorontalo Pastikan Pembayaran TPP  Honor Ketua RT RW  Guru Ngaji dan Imam Masjid Segera Dilakukan,dprd kota gorontalo pastikan pembayaran tpp  honor ketua rt rw  guru ngaji dan imam masjid segera dilakukan,"['dprd', 'kota', 'gorontalo', 'pastikan', 'pembayaran', 'tpp', 'honor', 'ketua', 'rt', 'rw', 'guru', 'ngaji', 'dan', 'imam', 'masjid', 'segera', 'dilakukan']","['dprd', 'kota', 'gorontalo', 'pastikan', 'pembayaran', 'tpp', 'honor', 'ketua', 'rt', 'rw', 'guru', 'ngaji', 'imam', 'masjid']","['dprd', 'kota', 'gorontalo', 'pastikan', 'pembayaran', 'tpp', 'honor', 'ketua', 'rt', 'rw', 'guru', 'ngaji', 'imam', 'masjid']",dprd kota gorontalo pastikan pembayaran tpp honor ketua rt rw guru ngaji imam masjid,Gorontalo City DPRD Ensures TPP Payment Honor Chairman RT RW RW Teacher Koran Imam Mosque
Herman Haluti Dorong Pemkot Gorontalo Bentuk Badan Pengelola Pendapatan Keuangan Daerah,2024-11-11,https://read.id/herman-haluti-dorong-pemkot-gorontalo-bentuk-badan-pengelola-pendapatan-keuangan-daerah/,Herman Haluti Dorong Pemkot Gorontalo Bentuk Badan Pengelola Pendapatan Keuangan Daerah,herman haluti dorong pemkot gorontalo bentuk badan pengelola pendapatan keuangan daerah,"['herman', 'haluti', 'dorong', 'pemkot', 'gorontalo', 'bentuk', 'badan', 'pengelola', 'pendapatan', 'keuangan', 'daerah']","['herman', 'haluti', 'dorong', 'pemkot', 'gorontalo', 'bentuk', 'badan', 'pengelola', 'pendapatan', 'keuangan', 'daerah']","['herman', 'haluti', 'dorong', 'pemkot', 'gorontalo', 'bentuk', 'badan', 'pengelola', 'pendapatan', 'keuangan', 'daerah']",herman haluti dorong pemkot gorontalo bentuk badan pengelola pendapatan keuangan daerah,Herman Haluti Encourages the Gorontalo City Government to Form the Regional Financial Revenue Management Agency
"Demi keamanan, Debat Ketiga Calon Bupati Gorut Digelar Siang",2024-11-11,https://read.id/demi-keamanan-debat-ketiga-calon-bupati-gorut-digelar-siang/,Demi keamanan  Debat Ketiga Calon Bupati Gorut Digelar Siang,demi keamanan  debat ketiga calon bupati gorut digelar siang,"['demi', 'keamanan', 'debat', 'ketiga', 'calon', 'bupati', 'gorut', 'digelar', 'siang']","['keamanan', 'debat', 'ketiga', 'calon', 'bupati', 'gorut', 'digelar', 'siang']","['keamanan', 'debat', 'ketiga', 'calon', 'bupati', 'gorut', 'digelar', 'siang']",keamanan debat ketiga calon bupati gorut digelar siang,The security of the debate of the three Gorut Regent candidates was held in the afternoon
Etika Kesehatan Masyarakat dalam Penanganan Stunting,2024-11-11,https://dulohupa.id/etika-kesehatan-masyarakat-dalam-penanganan-stunting/,Etika Kesehatan Masyarakat dalam Penanganan Stunting,etika kesehatan masyarakat dalam penanganan stunting,"['etika', 'kesehatan', 'masyarakat', 'dalam', 'penanganan', 'stunting']","['etika', 'kesehatan', 'masyarakat', 'penanganan', 'stunting']","['etika', 'kesehatan', 'masyarakat', 'penanganan', 'stunting']",etika kesehatan masyarakat penanganan stunting,Public Health Ethics Handling Stunting
Ratusan Warga Poowo Barat Sambut Positif Program Sapi Paslon IRIS,2024-11-11,https://dulohupa.id/ratusan-warga-poowo-barat-sambut-positif-program-sapi-paslon-iris/,Ratusan Warga Poowo Barat Sambut Positif Program Sapi Paslon IRIS,ratusan warga poowo barat sambut positif program sapi paslon iris,"['ratusan', 'warga', 'poowo', 'barat', 'sambut', 'positif', 'program', 'sapi', 'paslon', 'iris']","['ratusan', 'warga', 'poowo', 'barat', 'sambut', 'positif', 'program', 'sapi', 'paslon', 'iris']","['ratusan', 'warga', 'poowo', 'barat', 'sambut', 'positif', 'program', 'sapi', 'paslon', 'iris']",ratusan warga poowo barat sambut positif program sapi paslon iris,Hundreds of West Poowo residents welcomed the Iris Paslon Cow Program
Merlan Uloli Ajak Pemuda Teladani Semangat Pahlawan Nani Wartabone,2024-11-11,https://dulohupa.id/merlan-uloli-ajak-pemuda-teladani-semangat-pahlawan-nani-wartabone/,Merlan Uloli Ajak Pemuda Teladani Semangat Pahlawan Nani Wartabone,merlan uloli ajak pemuda teladani semangat pahlawan nani wartabone,"['merlan', 'uloli', 'ajak', 'pemuda', 'teladani', 'semangat', 'pahlawan', 'nani', 'wartabone']","['merlan', 'uloli', 'ajak', 'pemuda', 'teladani', 'semangat', 'pahlawan', 'nani', 'wartabone']","['merlan', 'uloli', 'ajak', 'pemuda', 'teladani', 'semangat', 'pahlawan', 'nani', 'wartabone']",merlan uloli ajak pemuda teladani semangat pahlawan nani wartabone,Merlan Uloli Invites Young Young to Exemplies the Spirit of Heroes Nani Wartabone
"Tim Rajawali Gerebek Lokasi Judi Remi di Dungingi, 2 Oknum ASN Diringkus",2024-11-11,https://dulohupa.id/tim-rajawali-gerebek-lokasi-judi-remi-di-dungingi-2-oknum-asn-diringkus/,Tim Rajawali Gerebek Lokasi Judi Remi di Dungingi   Oknum ASN Diringkus,tim rajawali gerebek lokasi judi remi di dungingi   oknum asn diringkus,"['tim', 'rajawali', 'gerebek', 'lokasi', 'judi', 'remi', 'di', 'dungingi', 'oknum', 'asn', 'diringkus']","['tim', 'rajawali', 'gerebek', 'lokasi', 'judi', 'remi', 'dungingi', 'oknum', 'asn', 'diringkus']","['tim', 'rajawali', 'gerebek', 'lokasi', 'judi', 'remi', 'dungingi', 'oknum', 'asn', 'diringkus']",tim rajawali gerebek lokasi judi remi dungingi oknum asn diringkus,The Rajawali Team Breakfare Gambling Location Remi Dungingi Person ASN was arrested
Jadwal Debat Publik Ketiga untuk Pilkada Gorontalo Utara,2024-11-11,https://dulohupa.id/jadwal-debat-publik-ketiga-untuk-pilkada-gorontalo-utara/,Jadwal Debat Publik Ketiga untuk Pilkada Gorontalo Utara,jadwal debat publik ketiga untuk pilkada gorontalo utara,"['jadwal', 'debat', 'publik', 'ketiga', 'untuk', 'pilkada', 'gorontalo', 'utara']","['jadwal', 'debat', 'publik', 'ketiga', 'pilkada', 'gorontalo', 'utara']","['jadwal', 'debat', 'publik', 'ketiga', 'pilkada', 'gorontalo', 'utara']",jadwal debat publik ketiga pilkada gorontalo utara,the third public debate schedule of North Gorontalo Pilkada
Amnesia Kepahlawanan,2024-11-11,https://dulohupa.id/amnesia-kepahlawanan/,Amnesia Kepahlawanan,amnesia kepahlawanan,"['amnesia', 'kepahlawanan']","['amnesia', 'kepahlawanan']","['amnesia', 'kepahlawanan']",amnesia kepahlawanan,Amnesia heroism
"Rapat Bersama TAPD, Dekot Gorontalo Upayakan Penggunaan Anggaran Lebih Efisien",2024-11-11,https://pojok6.id/rapat-bersama-tapd-dekot-gorontalo-upayakan-penggunaan-anggaran-lebih-efisien/,Rapat Bersama TAPD  Dekot Gorontalo Upayakan Penggunaan Anggaran Lebih Efisien,rapat bersama tapd  dekot gorontalo upayakan penggunaan anggaran lebih efisien,"['rapat', 'bersama', 'tapd', 'dekot', 'gorontalo', 'upayakan', 'penggunaan', 'anggaran', 'lebih', 'efisien']","['rapat', 'tapd', 'dekot', 'gorontalo', 'upayakan', 'penggunaan', 'anggaran', 'efisien']","['rapat', 'tapd', 'dekot', 'gorontalo', 'upayakan', 'penggunaan', 'anggaran', 'efisien']",rapat tapd dekot gorontalo upayakan penggunaan anggaran efisien,TAPD Decot Meeting Gorontalo Try to use the efficient budget
Pengprov PBSI Gorontalo Gelar Pelatihan dan Ujian Wasit,2024-11-11,https://pojok6.id/pengprov-pbsi-gorontalo-gelar-pelatihan-dan-ujian-wasit/,Pengprov PBSI Gorontalo Gelar Pelatihan dan Ujian Wasit,pengprov pbsi gorontalo gelar pelatihan dan ujian wasit,"['pengprov', 'pbsi', 'gorontalo', 'gelar', 'pelatihan', 'dan', 'ujian', 'wasit']","['pengprov', 'pbsi', 'gorontalo', 'gelar', 'pelatihan', 'ujian', 'wasit']","['pengprov', 'pbsi', 'gorontalo', 'gelar', 'pelatihan', 'ujian', 'wasit']",pengprov pbsi gorontalo gelar pelatihan ujian wasit,Gorontalo PBSI Pengprov Holds Referees Examination Training
"Pemkot Gorontalo Canangkan HUT KORPRI, BKN, DWP dan Hari Guru untuk Tingkatkan Semangat Pengabdian",2024-11-11,https://pojok6.id/pemkot-gorontalo-canangkan-hut-korpri-bkn-dwp-dan-hari-guru-untuk-tingkatkan-semangat-pengabdian/,Pemkot Gorontalo Canangkan HUT KORPRI  BKN  DWP dan Hari Guru untuk Tingkatkan Semangat Pengabdian,pemkot gorontalo canangkan hut korpri  bkn  dwp dan hari guru untuk tingkatkan semangat pengabdian,"['pemkot', 'gorontalo', 'canangkan', 'hut', 'korpri', 'bkn', 'dwp', 'dan', 'hari', 'guru', 'untuk', 'tingkatkan', 'semangat', 'pengabdian']","['pemkot', 'gorontalo', 'canangkan', 'hut', 'korpri', 'bkn', 'dwp', 'guru', 'tingkatkan', 'semangat', 'pengabdian']","['pemkot', 'gorontalo', 'canangkan', 'hut', 'korpri', 'bkn', 'dwp', 'guru', 'tingkatkan', 'semangat', 'pengabdian']",pemkot gorontalo canangkan hut korpri bkn dwp guru tingkatkan semangat pengabdian,Gorontalo City Government is planning the Korpri BKN DWP Anniversary to increase the spirit of service
Deprov Gorontalo Dorong Regulasi Pajak Kendaraan Berplat Luar Daerah untuk Tingkatkan Pendapatan,2024-11-11,https://pojok6.id/deprov-gorontalo-dorong-regulasi-pajak-kendaraan-berplat-luar-daerah-untuk-tingkatkan-pendapatan/,Deprov Gorontalo Dorong Regulasi Pajak Kendaraan Berplat Luar Daerah untuk Tingkatkan Pendapatan,deprov gorontalo dorong regulasi pajak kendaraan berplat luar daerah untuk tingkatkan pendapatan,"['deprov', 'gorontalo', 'dorong', 'regulasi', 'pajak', 'kendaraan', 'berplat', 'luar', 'daerah', 'untuk', 'tingkatkan', 'pendapatan']","['deprov', 'gorontalo', 'dorong', 'regulasi', 'pajak', 'kendaraan', 'berplat', 'daerah', 'tingkatkan', 'pendapatan']","['deprov', 'gorontalo', 'dorong', 'regulasi', 'pajak', 'kendaraan', 'berplat', 'daerah', 'tingkatkan', 'pendapatan']",deprov gorontalo dorong regulasi pajak kendaraan berplat daerah tingkatkan pendapatan,Deprov Gorontalo Encourages Regional Vehicle Tax Regulations to Increase Income
Komisi II DPRD Provinsi Gorontalo Bahas Strategi Optimalisasi Pendapatan Daerah di Tahun Anggaran 2024,2024-11-11,https://pojok6.id/komisi-ii-dprd-provinsi-gorontalo-bahas-strategi-optimalisasi-pendapatan-daerah-di-tahun-anggaran-2024/,Komisi II DPRD Provinsi Gorontalo Bahas Strategi Optimalisasi Pendapatan Daerah di Tahun Anggaran ,komisi ii dprd provinsi gorontalo bahas strategi optimalisasi pendapatan daerah di tahun anggaran ,"['komisi', 'ii', 'dprd', 'provinsi', 'gorontalo', 'bahas', 'strategi', 'optimalisasi', 'pendapatan', 'daerah', 'di', 'tahun', 'anggaran']","['komisi', 'ii', 'dprd', 'provinsi', 'gorontalo', 'bahas', 'strategi', 'optimalisasi', 'pendapatan', 'daerah', 'anggaran']","['komisi', 'ii', 'dprd', 'provinsi', 'gorontalo', 'bahas', 'strategi', 'optimalisasi', 'pendapatan', 'daerah', 'anggaran']",komisi ii dprd provinsi gorontalo bahas strategi optimalisasi pendapatan daerah anggaran,Commission II of the Gorontalo Province DPRD Discussing the Regional Revenue Optimization Strategy
Komisi II Dorong Pemkot Gorontalo Bentuk Badan Pendapatan Daerah,2024-11-11,https://pojok6.id/komisi-ii-dorong-pemkot-gorontalo-bentuk-badan-pendapatan-daerah/,Komisi II Dorong Pemkot Gorontalo Bentuk Badan Pendapatan Daerah,komisi ii dorong pemkot gorontalo bentuk badan pendapatan daerah,"['komisi', 'ii', 'dorong', 'pemkot', 'gorontalo', 'bentuk', 'badan', 'pendapatan', 'daerah']","['komisi', 'ii', 'dorong', 'pemkot', 'gorontalo', 'bentuk', 'badan', 'pendapatan', 'daerah']","['komisi', 'ii', 'dorong', 'pemkot', 'gorontalo', 'bentuk', 'badan', 'pendapatan', 'daerah']",komisi ii dorong pemkot gorontalo bentuk badan pendapatan daerah,Commission II Encourages the City Government of Gorontalo Regional Revenue Agency Form
Pjs. Bupati Gorontalo Apresiasi Pelatihan Keamanan dan Keselamatan bagi Pengelola Wisata,2024-11-11,https://pojok6.id/pjs-bupati-gorontalo-apresiasi-pelatihan-keamanan-dan-keselamatan-bagi-pengelola-wisata/,Pjs  Bupati Gorontalo Apresiasi Pelatihan Keamanan dan Keselamatan bagi Pengelola Wisata,pjs  bupati gorontalo apresiasi pelatihan keamanan dan keselamatan bagi pengelola wisata,"['pjs', 'bupati', 'gorontalo', 'apresiasi', 'pelatihan', 'keamanan', 'dan', 'keselamatan', 'bagi', 'pengelola', 'wisata']","['pjs', 'bupati', 'gorontalo', 'apresiasi', 'pelatihan', 'keamanan', 'keselamatan', 'pengelola', 'wisata']","['pjs', 'bupati', 'gorontalo', 'apresiasi', 'pelatihan', 'keamanan', 'keselamatan', 'pengelola', 'wisata']",pjs bupati gorontalo apresiasi pelatihan keamanan keselamatan pengelola wisata,Acting Regent of Gorontalo Appreciation of Tourism Manager Safety Training
"Dua Pekan Menuju Pencoblosan, Polresta Gorontalo Kota Perketat Pengamanan Kampanye",2024-11-11,https://pojok6.id/dua-pekan-menuju-pencoblosan-polresta-gorontalo-kota-perketat-pengamanan-kampanye/,Dua Pekan Menuju Pencoblosan  Polresta Gorontalo Kota Perketat Pengamanan Kampanye,dua pekan menuju pencoblosan  polresta gorontalo kota perketat pengamanan kampanye,"['dua', 'pekan', 'menuju', 'pencoblosan', 'polresta', 'gorontalo', 'kota', 'perketat', 'pengamanan', 'kampanye']","['pekan', 'pencoblosan', 'polresta', 'gorontalo', 'kota', 'perketat', 'pengamanan', 'kampanye']","['pekan', 'pencoblosan', 'polresta', 'gorontalo', 'kota', 'perketat', 'pengamanan', 'kampanye']",pekan pencoblosan polresta gorontalo kota perketat pengamanan kampanye,Gorontalo Police voting week in the city of campaign security
"Laksanakan Upacara Peringatan Hari Pahlawan, Pj. Bupati Buteng Bacakan Amanat Mensos RI",2024-11-11,https://pojok6.id/laksanakan-upacara-peringatan-hari-pahlawan-pj-bupati-buteng-bacakan-amanat-mensos-ri/,Laksanakan Upacara Peringatan Hari Pahlawan  Pj  Bupati Buteng Bacakan Amanat Mensos RI,laksanakan upacara peringatan hari pahlawan  pj  bupati buteng bacakan amanat mensos ri,"['laksanakan', 'upacara', 'peringatan', 'hari', 'pahlawan', 'pj', 'bupati', 'buteng', 'bacakan', 'amanat', 'mensos', 'ri']","['laksanakan', 'upacara', 'peringatan', 'pahlawan', 'pj', 'bupati', 'buteng', 'bacakan', 'amanat', 'mensos', 'ri']","['laksanakan', 'upacara', 'peringatan', 'pahlawan', 'pj', 'bupati', 'buteng', 'bacakan', 'amanat', 'mensos', 'ri']",laksanakan upacara peringatan pahlawan pj bupati buteng bacakan amanat mensos ri,Carry out the commemoration ceremony of the PJ Heroes Regent Buteng Reading the Mandate of the Indonesian Minister
KPU Kota Gorontalo Gelar TOT dan Bimbingan Teknis untuk PPK dan PPS Hadapi Pilkada 2024,2024-11-11,https://pojok6.id/kpu-kota-gorontalo-gelar-tot-dan-bimbingan-teknis-untuk-ppk-dan-pps-hadapi-pilkada-2024/,KPU Kota Gorontalo Gelar TOT dan Bimbingan Teknis untuk PPK dan PPS Hadapi Pilkada ,kpu kota gorontalo gelar tot dan bimbingan teknis untuk ppk dan pps hadapi pilkada ,"['kpu', 'kota', 'gorontalo', 'gelar', 'tot', 'dan', 'bimbingan', 'teknis', 'untuk', 'ppk', 'dan', 'pps', 'hadapi', 'pilkada']","['kpu', 'kota', 'gorontalo', 'gelar', 'tot', 'bimbingan', 'teknis', 'ppk', 'pps', 'hadapi', 'pilkada']","['kpu', 'kota', 'gorontalo', 'gelar', 'tot', 'bimbingan', 'teknis', 'ppk', 'pps', 'hadapi', 'pilkada']",kpu kota gorontalo gelar tot bimbingan teknis ppk pps hadapi pilkada,Gorontalo City KPU Holds PPK PPK Technical Guidance Tot Presenting Pilkada
Inflasi Provinsi Gorontalo Oktober 2024 Terendah Ketiga,2024-11-11,https://berita.gorontaloprov.go.id/2024/11/11/inflasi-provinsi-gorontalo-oktober-2024-terendah-ketiga-nasional/,Inflasi Provinsi Gorontalo Oktober  Terendah Ketiga,inflasi provinsi gorontalo oktober  terendah ketiga,"['inflasi', 'provinsi', 'gorontalo', 'oktober', 'terendah', 'ketiga']","['inflasi', 'provinsi', 'gorontalo', 'oktober', 'terendah', 'ketiga']","['inflasi', 'provinsi', 'gorontalo', 'oktober', 'terendah', 'ketiga']",inflasi provinsi gorontalo oktober terendah ketiga,Gorontalo Province Inflation in October third lowest
44 PTS Bertanding di Kompetisi UBM Debating Championship,2024-11-11,https://www.hulondalo.id/edukasi/96413923686/44-pts-bertanding-di-kompetisi-ubm-debating-championship, PTS Bertanding di Kompetisi UBM Debating Championship, pts bertanding di kompetisi ubm debating championship,"['pts', 'bertanding', 'di', 'kompetisi', 'ubm', 'debating', 'championship']","['pts', 'bertanding', 'kompetisi', 'ubm', 'debating', 'championship']","['pt', 'bertanding', 'kompetisi', 'ubm', 'debating', 'championship']",pt bertanding kompetisi ubm debating championship,PT PERTUANTAN COMPETITION UBM Debating Championship
Syaiful Hunta Jabat Plt Kadis Pendidikan Pohuwato,2024-11-11,https://www.hulondalo.id/news/96413923595/syaiful-hunta-jabat-plt-kadis-pendidikan-pohuwato,Syaiful Hunta Jabat Plt Kadis Pendidikan Pohuwato,syaiful hunta jabat plt kadis pendidikan pohuwato,"['syaiful', 'hunta', 'jabat', 'plt', 'kadis', 'pendidikan', 'pohuwato']","['syaiful', 'hunta', 'jabat', 'plt', 'kadis', 'pendidikan', 'pohuwato']","['syaiful', 'hunta', 'jabat', 'plt', 'kadis', 'pendidikan', 'pohuwato']",syaiful hunta jabat plt kadis pendidikan pohuwato,Syaiful Hunta Jabat Acting Head of Pohuwato Education
"Peningkatan Skor ESG di S&P, BRI Mantapkan Posisi sebagai Pemimpin Keberlanjutan di Sektor Perbankan",2024-11-11,https://www.hulondalo.id/ekbis/96413921770/peningkatan-skor-esg-di-sp-bri-mantapkan-posisi-sebagai-pemimpin-keberlanjutan-di-sektor-perbankan,Peningkatan Skor ESG di S P  BRI Mantapkan Posisi sebagai Pemimpin Keberlanjutan di Sektor Perbankan,peningkatan skor esg di s p  bri mantapkan posisi sebagai pemimpin keberlanjutan di sektor perbankan,"['peningkatan', 'skor', 'esg', 'di', 's', 'p', 'bri', 'mantapkan', 'posisi', 'sebagai', 'pemimpin', 'keberlanjutan', 'di', 'sektor', 'perbankan']","['peningkatan', 'skor', 'esg', 's', 'p', 'bri', 'mantapkan', 'posisi', 'pemimpin', 'keberlanjutan', 'sektor', 'perbankan']","['peningkatan', 'skor', 'esg', 's', 'p', 'bri', 'mantapkan', 'posisi', 'pemimpin', 'keberlanjutan', 'sektor', 'perbankan']",peningkatan skor esg s p bri mantapkan posisi pemimpin keberlanjutan sektor perbankan,Increased Esg S P Score BRI Establishing the position of the sustainability leader of the banking sector
"Kedubes RI Ukraina Gelar Upacara Hari Pahlawan, Dirangkaikan Penandatanganan MoU UBM Gorontalo dan Nizhyn Gogol State University",2024-11-11,https://www.hulondalo.id/edukasi/96413920680/kedubes-ri-ukraina-gelar-upacara-hari-pahlawan-dirangkaikan-penandatanganan-mou-ubm-gorontalo-dan-nizhyn-gogol-state-university,Kedubes RI Ukraina Gelar Upacara Hari Pahlawan  Dirangkaikan Penandatanganan MoU UBM Gorontalo dan Nizhyn Gogol State University,kedubes ri ukraina gelar upacara hari pahlawan  dirangkaikan penandatanganan mou ubm gorontalo dan nizhyn gogol state university,"['kedubes', 'ri', 'ukraina', 'gelar', 'upacara', 'hari', 'pahlawan', 'dirangkaikan', 'penandatanganan', 'mou', 'ubm', 'gorontalo', 'dan', 'nizhyn', 'gogol', 'state', 'university']","['kedubes', 'ri', 'ukraina', 'gelar', 'upacara', 'pahlawan', 'dirangkaikan', 'penandatanganan', 'mou', 'ubm', 'gorontalo', 'nizhyn', 'gogol', 'state', 'university']","['kedubes', 'ri', 'ukraina', 'gelar', 'upacara', 'pahlawan', 'dirangkaikan', 'penandatanganan', 'mou', 'ubm', 'gorontalo', 'nizhyn', 'gogol', 'state', 'university']",kedubes ri ukraina gelar upacara pahlawan dirangkaikan penandatanganan mou ubm gorontalo nizhyn gogol state university,Indonesian Embassy Ukraine Holds Heroes Ceremony Holds the signing of the UBM Gorontalo MoU Nizhyn Gogol State University
"Siap Jemput Kemenangan di Pilwako Tahun 2024, Sehari IDAMAN Sisir 14 Titik Blusukan",2024-11-11,https://habari.id/siap-jemput-kemenangan-di-pilwako-tahun-2024-sehari-idaman-sisir-14-titik-blusukan/,Siap Jemput Kemenangan di Pilwako Tahun   Sehari IDAMAN Sisir  Titik Blusukan,siap jemput kemenangan di pilwako tahun   sehari idaman sisir  titik blusukan,"['siap', 'jemput', 'kemenangan', 'di', 'pilwako', 'tahun', 'sehari', 'idaman', 'sisir', 'titik', 'blusukan']","['jemput', 'kemenangan', 'pilwako', 'sehari', 'idaman', 'sisir', 'titik', 'blusukan']","['jemput', 'kemenangan', 'pilwako', 'sehari', 'idaman', 'sisir', 'titik', 'blusukan']",jemput kemenangan pilwako sehari idaman sisir titik blusukan,pick up the victory of the Pilwako a day the dream of the blusukan point.
Srikandi Tonny dan Marten Turun Gunung Siap Jemput Kemenangan di Pilgub Tahun 2024,2024-11-11,https://habari.id/srikandi-tonny-dan-marten-turun-gunung-siap-jemput-kemenangan-di-pilgub-tahun-2024/,Srikandi Tonny dan Marten Turun Gunung Siap Jemput Kemenangan di Pilgub Tahun ,srikandi tonny dan marten turun gunung siap jemput kemenangan di pilgub tahun ,"['srikandi', 'tonny', 'dan', 'marten', 'turun', 'gunung', 'siap', 'jemput', 'kemenangan', 'di', 'pilgub', 'tahun']","['srikandi', 'tonny', 'marten', 'turun', 'gunung', 'jemput', 'kemenangan', 'pilgub']","['srikandi', 'tonny', 'marten', 'turun', 'gunung', 'jemput', 'kemenangan', 'pilgub']",srikandi tonny marten turun gunung jemput kemenangan pilgub,Srikandi Tonny Marten went down the Mount Pilgub Victory
Hamzah Soroti Melonjaknya Kasus HIV/AIDS Di Gorontalo,2024-11-11,https://habari.id/hamzah-soroti-melonjaknya-kasus-hiv-aids-di-gorontalo/,Hamzah Soroti Melonjaknya Kasus HIV AIDS Di Gorontalo,hamzah soroti melonjaknya kasus hiv aids di gorontalo,"['hamzah', 'soroti', 'melonjaknya', 'kasus', 'hiv', 'aids', 'di', 'gorontalo']","['hamzah', 'soroti', 'melonjaknya', 'hiv', 'aids', 'gorontalo']","['hamzah', 'soroti', 'melonjaknya', 'hiv', 'aid', 'gorontalo']",hamzah soroti melonjaknya hiv aid gorontalo,Hamzah highlighted the soaring HIV Aid Gorontalo
Pj Walikota Kotamobagu dan Ketua TP PKK Hadiri Rangkaian HKN Ke 60 Tahun,2024-11-11,https://habari.id/pj-walikota-kotamobagu-dan-ketua-tp-pkk-hadiri-rangkaian-hkn-ke-60-tahun/,Pj Walikota Kotamobagu dan Ketua TP PKK Hadiri Rangkaian HKN Ke  Tahun,pj walikota kotamobagu dan ketua tp pkk hadiri rangkaian hkn ke  tahun,"['pj', 'walikota', 'kotamobagu', 'dan', 'ketua', 'tp', 'pkk', 'hadiri', 'rangkaian', 'hkn', 'ke', 'tahun']","['pj', 'walikota', 'kotamobagu', 'ketua', 'tp', 'pkk', 'hadiri', 'rangkaian', 'hkn']","['pj', 'walikota', 'kotamobagu', 'ketua', 'tp', 'pkk', 'hadiri', 'rangkaian', 'hkn']",pj walikota kotamobagu ketua tp pkk hadiri rangkaian hkn,Acting Mayor of Kotamobagu Chairperson of the PKK TP Attended the HKN series
